airline,source_airport,departure_airport_name,departure_city,departure_country,dest_airport,arrival_airport_name,arrival_city,arrival_country,equipment
9C,PVG,Shanghai Pudong International Airport,Shanghai,China,IBR,Hyakuri Airport,Ibaraki,Japan,320
9C,PVG,Shanghai Pudong International Airport,Shanghai,China,KHH,Kaohsiung International Airport,Kaohsiung,Taiwan,320
9C,PVG,Shanghai Pudong International Airport,Shanghai,China,KIX,Kansai International Airport,Osaka,Japan,320
9C,PVG,Shanghai Pudong International Airport,Shanghai,China,MFM,Macau International Airport,Macau,Macau,320
9C,PVG,Shanghai Pudong International Airport,Shanghai,China,REP,Siem Reap International Airport,Siem-reap,Cambodia,320
9C,PVG,Shanghai Pudong International Airport,Shanghai,China,SIN,Singapore Changi Airport,Singapore,Singapore,320
9C,PVG,Shanghai Pudong International Airport,Shanghai,China,TAK,Takamatsu Airport,Takamatsu,Japan,320
9C,PVG,Shanghai Pudong International Airport,Shanghai,China,TPE,Taiwan Taoyuan International Airport,Taipei,Taiwan,320
9C,REP,Siem Reap International Airport,Siem-reap,Cambodia,PVG,Shanghai Pudong International Airport,Shanghai,China,320
9C,SIN,Singapore Changi Airport,Singapore,Singapore,PVG,Shanghai Pudong International Airport,Shanghai,China,320
9C,SJW,Shijiazhuang Daguocun International Airport,Shijiazhuang,China,TPE,Taiwan Taoyuan International Airport,Taipei,Taiwan,320
9C,TAK,Takamatsu Airport,Takamatsu,Japan,PVG,Shanghai Pudong International Airport,Shanghai,China,320
9C,TPE,Taiwan Taoyuan International Airport,Taipei,Taiwan,PVG,Shanghai Pudong International Airport,Shanghai,China,320
9C,TPE,Taiwan Taoyuan International Airport,Taipei,Taiwan,SJW,Shijiazhuang Daguocun International Airport,Shijiazhuang,China,320
9D,JED,King Abdulaziz International Airport,Jeddah,Saudi Arabia,NDJ,N'Djamena International Airport,N'djamena,Chad,737 747
9K,AXA,Clayton J Lloyd International Airport,The Valley,Anguilla,SJU,Luis Munoz Marin International Airport,San Juan,Puerto Rico,CNA
9K,EIS,Terrance B. Lettsome International Airport,Tortola,British Virgin Islands,SJU,Luis Munoz Marin International Airport,San Juan,Puerto Rico,CNA
9K,EIS,Terrance B. Lettsome International Airport,Tortola,British Virgin Islands,STT,Cyril E. King Airport,St. Thomas,Virgin Islands,CNA
9K,NEV,Vance W. Amory International Airport,Charlestown,Saint Kitts and Nevis,SJU,Luis Munoz Marin International Airport,San Juan,Puerto Rico,CNA
9K,SJU,Luis Munoz Marin International Airport,San Juan,Puerto Rico,AXA,Clayton J Lloyd International Airport,The Valley,Anguilla,CNA
9K,SJU,Luis Munoz Marin International Airport,San Juan,Puerto Rico,EIS,Terrance B. Lettsome International Airport,Tortola,British Virgin Islands,CNA
9K,SJU,Luis Munoz Marin International Airport,San Juan,Puerto Rico,NEV,Vance W. Amory International Airport,Charlestown,Saint Kitts and Nevis,CNA
9K,SJU,Luis Munoz Marin International Airport,San Juan,Puerto Rico,STT,Cyril E. King Airport,St. Thomas,Virgin Islands,CNA
9K,SJU,Luis Munoz Marin International Airport,San Juan,Puerto Rico,STX,Henry E Rohlsen Airport,St. Croix Island,Virgin Islands,CNA
9K,SJU,Luis Munoz Marin International Airport,San Juan,Puerto Rico,VIJ,Virgin Gorda Airport,Spanish Town,British Virgin Islands,BNI
9K,STT,Cyril E. King Airport,St. Thomas,Virgin Islands,EIS,Terrance B. Lettsome International Airport,Tortola,British Virgin Islands,CNA
9K,STT,Cyril E. King Airport,St. Thomas,Virgin Islands,SJU,Luis Munoz Marin International Airport,San Juan,Puerto Rico,CNA
9K,STX,Henry E Rohlsen Airport,St. Croix Island,Virgin Islands,SJU,Luis Munoz Marin International Airport,San Juan,Puerto Rico,CNA
9K,STX,Henry E Rohlsen Airport,St. Croix Island,Virgin Islands,VQS,Vieques Airport,Vieques Island,Puerto Rico,CNA
9K,VIJ,Virgin Gorda Airport,Spanish Town,British Virgin Islands,SJU,Luis Munoz Marin International Airport,San Juan,Puerto Rico,BNI
9K,VQS,Vieques Airport,Vieques Island,Puerto Rico,STX,Henry E Rohlsen Airport,St. Croix Island,Virgin Islands,CNA
9N,BZE,Philip S. W. Goldson International Airport,Belize City,Belize,CUN,Cancún International Airport,Cancun,Mexico,CNC
9N,BZE,Philip S. W. Goldson International Airport,Belize City,Belize,FRS,Mundo Maya International Airport,Flores,Guatemala,CNC
9N,BZE,Philip S. W. Goldson International Airport,Belize City,Belize,MID,Licenciado Manuel Crescencio Rejon Int Airport,Merida,Mexico,CNC
9N,BZE,Philip S. W. Goldson International Airport,Belize City,Belize,RTB,Juan Manuel Galvez International Airport,Roatan,Honduras,CNC
9N,BZE,Philip S. W. Goldson International Airport,Belize City,Belize,SAP,Ramón Villeda Morales International Airport,San Pedro Sula,Honduras,CNC
9N,CUN,Cancún International Airport,Cancun,Mexico,BZE,Philip S. W. Goldson International Airport,Belize City,Belize,CNC
9N,FRS,Mundo Maya International Airport,Flores,Guatemala,BZE,Philip S. W. Goldson International Airport,Belize City,Belize,CNC
9N,MID,Licenciado Manuel Crescencio Rejon Int Airport,Merida,Mexico,BZE,Philip S. W. Goldson International Airport,Belize City,Belize,CNC
9N,RTB,Juan Manuel Galvez International Airport,Roatan,Honduras,BZE,Philip S. W. Goldson International Airport,Belize City,Belize,CNC
9N,SAP,Ramón Villeda Morales International Airport,San Pedro Sula,Honduras,BZE,Philip S. W. Goldson International Airport,Belize City,Belize,CNC
9U,AER,Sochi International Airport,Sochi,Russia,KIV,Chişinău International Airport,Chisinau,Moldova,EM2
9U,ATH,Eleftherios Venizelos International Airport,Athens,Greece,KIV,Chişinău International Airport,Chisinau,Moldova,E90
9U,BLQ,Bologna Guglielmo Marconi Airport,Bologna,Italy,KIV,Chişinău International Airport,Chisinau,Moldova,E90
9U,BVA,Paris Beauvais Tillé Airport,Beauvais,France,KIV,Chişinău International Airport,Chisinau,Moldova,E90
9U,DME,Domodedovo International Airport,Moscow,Russia,KIV,Chişinău International Airport,Chisinau,Moldova,320 E90
9U,DUB,Dublin Airport,Dublin,Ireland,KIV,Chişinău International Airport,Chisinau,Moldova,E90
9U,FCO,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,KIV,Chişinău International Airport,Chisinau,Moldova,E90
9U,FRA,Frankfurt am Main Airport,Frankfurt,Germany,KIV,Chişinău International Airport,Chisinau,Moldova,E90
9U,IST,Atatürk International Airport,Istanbul,Turkey,KIV,Chişinău International Airport,Chisinau,Moldova,320 E90
9U,KBP,Boryspil International Airport,Kiev,Ukraine,KIV,Chişinău International Airport,Chisinau,Moldova,EM2
9U,KIV,Chişinău International Airport,Chisinau,Moldova,AER,Sochi International Airport,Sochi,Russia,EM2
9U,KIV,Chişinău International Airport,Chisinau,Moldova,ATH,Eleftherios Venizelos International Airport,Athens,Greece,E90
9U,KIV,Chişinău International Airport,Chisinau,Moldova,BLQ,Bologna Guglielmo Marconi Airport,Bologna,Italy,E90
9U,KIV,Chişinău International Airport,Chisinau,Moldova,BVA,Paris Beauvais Tillé Airport,Beauvais,France,E90
9U,KIV,Chişinău International Airport,Chisinau,Moldova,DME,Domodedovo International Airport,Moscow,Russia,320 E90
9U,KIV,Chişinău International Airport,Chisinau,Moldova,DUB,Dublin Airport,Dublin,Ireland,E90
9U,KIV,Chişinău International Airport,Chisinau,Moldova,FCO,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,E90
9U,KIV,Chişinău International Airport,Chisinau,Moldova,FRA,Frankfurt am Main Airport,Frankfurt,Germany,E90
9U,KIV,Chişinău International Airport,Chisinau,Moldova,IST,Atatürk International Airport,Istanbul,Turkey,320 E90
